timestamp,target_timestamp,callback_time
144198.583333333,144198.600000000,144198.600529583
144198.600000000,144198.616666667,144198.617163125
144198.616666667,144198.633333333,144198.633826250
144198.633333333,144198.650000000,144198.650490750
144198.650000000,144198.666666667,144198.667172333
144198.666666667,144198.683333333,144198.683838583
144198.683333333,144198.700000000,144198.700508208
144198.700000000,144198.716666667,144198.717175250
144198.716666667,144198.733333333,144198.733830500
144198.733333333,144198.750000000,144198.750503000
144198.750000000,144198.766666667,144198.767197958
144198.766666667,144198.783333333,144198.783840917
144198.783333333,144198.800000000,144198.800493583
144198.800000000,144198.816666667,144198.817150292
144198.816666667,144198.833333333,144198.833813292
144198.833333333,144198.850000000,144198.850475750
144198.850000000,144198.866666667,144198.867153375
144198.866666667,144198.883333333,144198.883812625
144198.883333333,144198.900000000,144198.900499333
144198.900000000,144198.916666667,144198.917197875
144198.916666667,144198.933333333,144198.933865083
144198.933333333,144198.950000000,144198.950495208
144198.950000000,144198.966666667,144198.967178875
144198.966666667,144198.983333333,144198.983921542
144198.983333333,144199.000000000,144199.000515333
144199.000000000,144199.016666667,144199.017180042
144199.016666667,144199.033333333,144199.033840750
144199.033333333,144199.050000000,144199.050521417
144199.050000000,144199.066666667,144199.067183417
144199.066666667,144199.083333333,144199.083854833
144199.083333333,144199.100000000,144199.100506625
144199.100000000,144199.116666667,144199.117160958
144199.116666667,144199.133333333,144199.133825333
144199.133333333,144199.150000000,144199.150484958
144199.150000000,144199.166666667,144199.167154667
144199.166666667,144199.183333333,144199.183830917
144199.183333333,144199.200000000,144199.200502458
144199.200000000,144199.216666667,144199.217165417
144199.216666667,144199.233333333,144199.233835333
144199.233333333,144199.250000000,144199.250463667
144199.250000000,144199.266666667,144199.267128542
144199.266666667,144199.283333333,144199.283798292
144199.283333333,144199.300000000,144199.300476542
144199.300000000,144199.316666667,144199.317132667
144199.316666667,144199.333333333,144199.333804750
144199.333333333,144199.350000000,144199.350483292
144199.350000000,144199.366666667,144199.367338083
144199.366666667,144199.383333333,144199.383807000
144199.383333333,144199.400000000,144199.400478167
144199.400000000,144199.416666667,144199.417136625
144199.416666667,144199.433333333,144199.433807542
144199.433333333,144199.450000000,144199.450467667
144199.450000000,144199.466666667,144199.467132750
144199.466666667,144199.483333333,144199.483838375
144199.483333333,144199.500000000,144199.500468250
144199.500000000,144199.516666667,144199.517131000
144199.516666667,144199.533333333,144199.533804208
144199.533333333,144199.550000000,144199.550468083
144199.550000000,144199.566666667,144199.567154333
144199.566666667,144199.583333333,144199.583806917
144199.583333333,144199.600000000,144199.600470167
144199.600000000,144199.616666667,144199.617166833
144199.616666667,144199.633333333,144199.633801042
144199.633333333,144199.650000000,144199.650458875
144199.650000000,144199.666666667,144199.667129958
144199.666666667,144199.683333333,144199.683837000
144199.683333333,144199.700000000,144199.700503583
144199.700000000,144199.716666667,144199.717140333
144199.716666667,144199.733333333,144199.733805792
144199.733333333,144199.750000000,144199.750472958
144199.750000000,144199.766666667,144199.767183417
144199.766666667,144199.783333333,144199.783812625
144199.783333333,144199.800000000,144199.800471583
144199.800000000,144199.816666667,144199.817153542
144199.816666667,144199.833333333,144199.833816333
144199.833333333,144199.850000000,144199.850463208
144199.850000000,144199.866666667,144199.867171042
144199.866666667,144199.883333333,144199.883796208
144199.883333333,144199.900000000,144199.900474417
144199.900000000,144199.916666667,144199.917136792
144199.916666667,144199.933333333,144199.933837167
144199.933333333,144199.950000000,144199.950462667
144199.950000000,144199.966666667,144199.967136500
144199.966666667,144199.983333333,144199.983811083
144199.983333333,144200.000000000,144200.000464750
144200.000000000,144200.016666667,144200.017131208
144200.016666667,144200.033333333,144200.033800125
144200.033333333,144200.050000000,144200.050466333
144200.050000000,144200.066666667,144200.067135292
144200.066666667,144200.083333333,144200.083834958
144200.083333333,144200.100000000,144200.100486125
144200.100000000,144200.116666667,144200.117148458
144200.116666667,144200.133333333,144200.133820875
144200.133333333,144200.150000000,144200.150494542
144200.150000000,144200.166666667,144200.167181708
144200.166666667,144200.183333333,144200.183820167
144200.183333333,144200.200000000,144200.200492458
144200.200000000,144200.216666667,144200.217184167
144200.216666667,144200.233333333,144200.233826042
144200.233333333,144200.250000000,144200.250513125
144200.250000000,144200.266666667,144200.267162042
144200.266666667,144200.283333333,144200.283845750
144200.283333333,144200.300000000,144200.300510542
144200.300000000,144200.316666667,144200.317171458
144200.316666667,144200.333333333,144200.333833875
144200.333333333,144200.350000000,144200.350503542
144200.350000000,144200.366666667,144200.367181375
144200.366666667,144200.383333333,144200.383850792
144200.383333333,144200.400000000,144200.400524833
144200.400000000,144200.416666667,144200.417177833
144200.416666667,144200.433333333,144200.433829208
144200.433333333,144200.450000000,144200.456141958
144200.450000000,144200.466666667,144200.467179625
144200.466666667,144200.483333333,144200.483853167
144200.483333333,144200.500000000,144200.500501792
144200.500000000,144200.516666667,144200.517169208
